Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,0,CPU_ONLY,OFF_B,0,24,778553,95.03,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,0,798761,97.50,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,1,800644,97.73,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,2,797059,97.29,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,3,799230,97.56,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,4,799768,97.62,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,5,799502,97.59,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,6,797087,97.30,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,7,800353,97.69,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,8,800337,97.69,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,9,796795,97.26,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,10,798996,97.53,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,11,800068,97.66,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,12,800728,97.74,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,13,799909,97.64,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,14,797477,97.34,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,15,796219,97.19,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,16,798809,97.51,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,17,800349,97.69,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,18,799845,97.63,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,19,800409,97.70,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,20,798921,97.52,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,21,796197,97.19,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,22,797116,97.30,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,23,799451,97.58,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,24,800447,97.71,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,0,778892,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,1,778777,95.06,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,2,778664,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,3,778332,95.01,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,4,778373,95.01,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,5,778471,95.02,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,6,779180,95.11,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,7,778592,95.04,255,255,0
