mode,min,mean,p95,p99,max,violations,dma_commands,dma_MiB_per_s,dma_cycles,r_wait,w_wait,r_windows,w_windows,transitions,samples,min_calc,mean_calc,p95_calc,p99_calc,max_calc,violations_calc,violation_rate_percent,throughput_vs_max_percent
CPU_ONLY,94.97,96.28,97.74,97.76,97.79,0,0,0.0,0,0,0,0,0,0,300,94.97,96.2877,97.74,97.76,97.79,0,0.0,0.0
FIXED_MAX,217.2,230.02,242.18,242.56,243.01,300,231,689.69,267946228,0,0,0,0,0,300,217.2,230.02693333333335,242.18,242.56,243.01,300,100.0,100.0
STATIC_B8,139.95,149.38,158.76,158.98,159.12,150,108,561.66,153828885,0,0,0,0,0,300,139.95,149.38256666666666,158.76,158.98,159.12,150,50.0,81.43658745233364
RBR_50,117.71,127.97,135.24,135.62,136.03,0,65,381.46,136315455,68155255,68155190,2129920,2129920,0,300,117.71,127.97816666666665,135.24,135.62,136.03,0,0.0,55.308906900201535
RBR_67,131.71,145.69,154.39,154.97,155.6,170,91,508.45,143178731,47583322,47583322,2981888,2981888,0,300,131.71,145.6951,154.39,154.97,155.6,170,56.666666666666664,73.72152706288333
RBR_80,143.5,160.74,177.58,177.72,178.07,300,132,606.71,174052995,33107830,33107820,4325376,4325376,0,300,143.5,160.74353333333332,177.58,177.72,178.07,300,100.0,87.96850759036668
ADAPTIVE,117.74,133.43,147.73,153.6,154.04,17,72,426.12,135172991,59666575,59666532,2359296,2359296,13,300,117.74,133.4360333333333,147.73,153.6,154.04,17,5.666666666666666,61.78427989386536
