AdaptiveDMA parameter sweep
configs=25,runs=100,dma_bytes=8388608,latency_limit_percent=50
SAMPLE_HEADER,name,run,base_cpu,load_cpu,dma_cycles,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,overlap,checks_ok
SUMMARY_HEADER,name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors
SAMPLE,RAW_B1_O1,54,106.35,109.17,33749801,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,55,106.52,109.14,33750795,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,56,106.35,109.11,33750077,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,57,106.39,109.08,33750147,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,58,106.37,109.11,33749957,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,59,106.35,109.06,33749920,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,60,106.32,109.07,33750188,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,61,106.34,109.09,33750378,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,62,106.42,109.07,33750483,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,63,106.30,109.14,33750648,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,64,106.39,109.03,33750527,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,65,106.37,109.14,33750141,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,66,106.33,109.12,33749729,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,67,106.38,109.07,33750100,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,68,106.46,109.09,33750550,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,69,106.38,109.07,33750751,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,70,106.35,109.14,33750347,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,71,106.38,109.04,33750310,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,72,106.37,109.04,33750858,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,73,106.38,109.12,33750092,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,74,106.42,108.99,33750678,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,75,106.47,109.07,33750285,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,76,106.37,109.09,33750266,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,77,106.43,109.10,33750074,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,78,106.34,109.14,33749902,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,79,106.40,109.08,33749509,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,80,106.41,109.07,33749574,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,81,106.33,109.09,33750047,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,82,106.38,109.09,33750102,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,83,106.31,109.06,33750130,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,84,106.38,109.10,33750256,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,85,106.45,109.13,33750263,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,86,106.31,109.05,33750197,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,87,106.35,109.07,33750712,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,88,106.36,109.11,33750371,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,89,106.39,109.12,33749995,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,90,106.37,109.09,33750299,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,91,106.43,109.07,33750630,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,92,106.33,109.05,33750509,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,93,106.31,109.15,33750318,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,94,106.35,109.05,33749810,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,95,106.42,109.07,33750133,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,96,106.31,109.11,33750475,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,97,106.36,109.09,33750592,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,98,106.53,109.11,33750511,0,0,0,0,0,0,0,0,0,1,1
SAMPLE,RAW_B1_O1,99,106.30,109.10,33750210,0,0,0,0,0,0,0,0,0,1,1
SUMMARY,RAW_B1_O1,1,1,1,0,256,32,0,0,106.37,109.08,109.14,109.15,159.55,2.54,0,0.00,33750265,23.70,0,0,0,0,0,0,0,0,0,0
SAMPLE,RAW_B1_O2,0,106.36,110.51,17203428,0,0,0,0,524155,0,523755,0,0,1,1
SAMPLE,RAW_B1_O2,1,106.35,110.18,17203426,0,0,0,0,524130,0,523866,0,0,1,1
SAMPLE,RAW_B1_O2,2,106.28,110.75,17200527,0,0,0,0,524115,0,523523,0,0,1,1
SAMPLE,RAW_B1_O2,3,106.38,110.68,17199779,0,0,0,0,524088,0,523557,0,0,1,1
SAMPLE,RAW_B1_O2,4,106.35,110.63,17199863,0,0,0,0,524088,0,523585,0,0,1,1
SAMPLE,RAW_B1_O2,5,106.40,110.16,17204653,0,0,0,0,524118,0,523877,0,0,1,1
SAMPLE,RAW_B1_O2,6,106.39,110.81,17200805,0,0,0,0,524118,0,523508,0,0,1,1
SAMPLE,RAW_B1_O2,7,106.45,110.41,17204536,0,0,0,0,524161,0,523815,0,0,1,1
SAMPLE,RAW_B1_O2,8,106.46,110.81,17199258,0,0,0,0,524112,0,523491,0,0,1,1
SAMPLE,RAW_B1_O2,9,106.39,110.39,17204484,0,0,0,0,524132,0,523798,0,0,1,1
SAMPLE,RAW_B1_O2,10,106.32,110.38,17203410,0,0,0,0,524121,0,523805,0,0,1,1
SAMPLE,RAW_B1_O2,11,106.38,110.36,17202652,0,0,0,0,524103,0,523823,0,0,1,1
SAMPLE,RAW_B1_O2,12,106.32,110.57,17201370,0,0,0,0,524130,0,523610,0,0,1,1
SAMPLE,RAW_B1_O2,13,106.34,110.90,17199414,0,0,0,0,524087,0,523503,0,0,1,1
SAMPLE,RAW_B1_O2,14,106.45,110.63,17198508,0,0,0,0,524086,0,523558,0,0,1,1
SAMPLE,RAW_B1_O2,15,106.37,110.41,17200874,0,0,0,0,524112,0,523646,0,0,1,1
SAMPLE,RAW_B1_O2,16,106.39,110.22,17206117,0,0,0,0,524166,0,523922,0,0,1,1
SAMPLE,RAW_B1_O2,17,106.33,110.51,17202114,0,0,0,0,524108,0,523613,0,0,1,1
SAMPLE,RAW_B1_O2,18,106.31,110.55,17200061,0,0,0,0,524096,0,523628,0,0,1,1
SAMPLE,RAW_B1_O2,19,106.27,110.70,17198728,0,0,0,0,524104,0,523544,0,0,1,1
SAMPLE,RAW_B1_O2,20,106.29,110.75,17198984,0,0,0,0,524084,0,523543,0,0,1,1
SAMPLE,RAW_B1_O2,21,106.36,110.50,17203238,0,0,0,0,524161,0,523723,0,0,1,1
SAMPLE,RAW_B1_O2,22,106.27,110.58,17201632,0,0,0,0,524103,0,523631,0,0,1,1
SAMPLE,RAW_B1_O2,23,106.31,110.50,17203473,0,0,0,0,524139,0,523735,0,0,1,1

SAMPLE,RAW_B1_O2,24,106.39,110.64,17196568,0,0,0,0,524020,0,523508,0,0,1,1
