name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors,base_mean_calc,cpu_mean_calc,cpu_sd,p95_calc,p99_calc,target_calc,slowdown_calc,violations_calc,violation_percent_calc,dma_cycles_calc,throughput_calc,all_overlap,all_checks_ok,group,throughput_percent_of_max,theoretical_utilization_percent,excess_latency_reduction_percent,p99_margin_to_target,target_met,pareto_mean
RAW_B16_O4,16,4,4,0,256,32,0,0,106.35,208.34,208.94,209.18,159.52,95.9,100,100.0,1089564,734.23,0,0,0,0,3,0,3,0,0,0,106.3545,208.34,0.3976013942214852,208.94,209.18,159.53175,95.8920402991881,100,100.0,1089564.88,734.2380565717207,1,1,Burst/Outstanding,100.0,96.23805055096857,0.0,-49.64825000000002,0,1
RBR100_T256,16,4,4,3,256,32,0,0,106.34,208.34,208.93,209.29,159.51,95.91,100,100.0,1089583,734.22,0,0,32768,32768,3,0,3,0,0,0,106.34729999999999,208.34810000000002,0.3982276263950582,208.93,209.29,159.52094999999997,95.91291927486645,100,100.0,1089583.32,734.2256303997018,1,1,RBR ratio,99.99830760992192,96.23642182774972,-0.01500213265612782,-49.76905000000002,0,1
RBR80_T256,16,4,4,3,256,32,64,64,106.35,151.15,151.39,151.49,159.52,42.12,0,0.0,1313907,608.87,260235,260235,32768,32768,3,252070,3,0,0,0,106.35959999999999,151.1532,0.16516829494962276,151.39,151.49,159.53939999999997,42.115239244976486,0,0.0,1313907.21,608.8710023898872,1,1,RBR ratio,82.92555758180214,79.8059400252473,56.078462134323004,8.049399999999963,1,1
RBR67_T256,16,4,4,3,256,32,128,128,106.36,136.76,149.19,150.31,159.54,28.58,0,0.0,1572888,508.61,524287,524287,32768,32768,3,521901,3,0,0,0,106.36120000000001,136.7612,4.86231255617524,149.19,150.31,159.54180000000002,28.58185127659334,0,0.0,1572888.42,508.61840536660577,1,1,RBR ratio,69.27159397613214,66.66563162821176,70.19184099700449,9.231800000000021,1,1
RBR50_T256,16,4,4,3,256,32,256,256,106.36,128.32,133.9,133.91,159.54,20.64,0,0.0,2097160,381.46,1048561,1048560,32768,32768,3,1048543,3,0,0,0,106.3674,128.3282,4.656454709824468,133.9,133.91,159.55110000000002,20.64617542592937,0,0.0,2097160.06,381.4682604626754,1,1,RBR ratio,51.954302429352964,49.99980783536379,78.4667428212834,25.641100000000023,1,0
RBR33_T256,16,4,4,3,256,32,512,512,106.36,120.23,122.84,122.97,159.54,13.04,0,0.0,3145704,254.31,2097105,2097104,32768,32768,3,2097087,3,0,0,0,106.36959999999999,120.2394,1.570108289387722,122.84,122.97,159.5544,13.039251816308429,0,0.0,3145704.7,254.31503472020114,1,1,RBR ratio,34.636591285888976,33.3335802308462,86.40022356119252,36.58439999999999,1,0
RBR25_T256,16,4,4,3,256,32,768,768,106.37,117.32,120.69,120.8,159.55,10.29,0,0.0,4194248,190.73,3145650,3145649,32768,32768,3,3145631,3,0,0,0,106.37450000000001,117.322,2.6518154635127336,120.69,120.8,159.56175000000002,10.291470230177335,0,0.0,4194248.43,190.73739034575974,1,1,RBR ratio,25.977595227948857,25.00033122739942,89.2656308985101,38.76175000000002,1,0
RBR50_T512,16,4,4,3,512,64,256,256,106.36,131.58,139.32,139.53,159.54,23.71,0,0.0,2097128,381.47,1048529,1048528,16384,16384,3,1039127,3,0,0,0,106.3681,131.5856,5.4005189275539704,139.32,139.53,159.55214999999998,23.707765768120325,0,0.0,2097128.03,381.47408672993606,1,1,Threshold,51.95509594137654,50.000571495866176,75.2734457349329,20.022149999999982,1,0
RBR50_T1536,16,4,4,3,1536,192,256,256,106.36,137.99,139.5,139.78,159.54,29.73,0,0.0,2097128,381.47,1029786,1029786,5461,5461,3,1026742,3,0,0,0,106.3617,137.9943,1.0822528457907705,139.5,139.78,159.54255,29.74059271335454,0,0.0,2097128.51,381.47399941646876,1,1,Threshold,51.9550840496656,50.0005600515154,68.98323781321854,19.762550000000005,1,0
RBR50_R_ONLY,16,4,4,1,256,32,256,256,106.36,127.95,133.89,133.9,159.54,20.29,0,0.0,2097160,381.46,1048561,0,32768,0,3,1048543,3,0,0,0,106.36489999999999,127.95190000000001,4.498404362446847,133.89,133.9,159.54735,20.295228971211387,0,0.0,2097160.43,381.4681931605966,1,1,Channel,51.95429326310528,49.999799013945726,78.8332655132347,25.64734999999999,1,0
RBR50_W_ONLY,16,4,4,2,256,32,256,256,106.36,123.97,128.05,128.13,159.54,16.55,0,0.0,2097161,381.46,0,1048560,0,32768,3,1048414,3,0,0,0,106.3651,123.97139999999999,2.187009405881498,128.05,128.13,159.54765,16.55270384740859,0,0.0,2097161.25,381.468044004723,1,1,Channel,51.95427294873009,49.99977946378706,82.7364674389987,31.41765000000001,1,1
