Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,0,CPU_ONLY,OFF_B,0,24,824366,100.63,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,0,844456,103.08,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,1,845882,103.25,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,2,845284,103.18,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,3,846221,103.29,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,4,845907,103.26,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,5,845794,103.24,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,6,845710,103.23,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,7,845687,103.23,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,8,845162,103.16,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,9,846497,103.33,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,10,845748,103.24,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,11,846107,103.28,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,12,845382,103.19,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,13,846016,103.27,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,14,845714,103.23,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,15,845036,103.15,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,16,842467,102.84,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,17,842735,102.87,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,18,844281,103.06,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,19,845325,103.18,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,20,845229,103.17,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,21,845783,103.24,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,22,845208,103.17,255,255,0
SAMPLE,0,CPU_ONLY,ON_B,1,23,845587,103.22,255,255,0
